species,count,strat_name,r_year,year_cent,firstyr,strat_idx1,strat_idx2,strat_idx3,strat_idx4,year_idx1,year_idx2,year_idx3,year_idx4,route_idx1,obser_idx1,obser_route_idx1,row_idx1
carolina_wren,0,CA-ON-13,1970,-28,1,1,1,1,1,1,1,1,1,1300,5,4842,1
carolina_wren,0,CA-ON-13,1971,-27,0,1,1,1,1,2,2,2,2,1300,5,4842,2
carolina_wren,0,CA-ON-13,1972,-26,0,1,1,1,1,3,3,3,3,1300,5,4842,3
carolina_wren,0,CA-ON-13,1973,-25,0,1,1,1,1,4,4,4,4,1300,5,4842,4
carolina_wren,0,CA-ON-13,1974,-24,1,1,1,1,1,5,5,5,5,1300,4,4232,5
carolina_wren,0,CA-ON-13,1975,-23,0,1,1,1,1,6,6,6,6,1300,4,4232,6
carolina_wren,0,CA-ON-13,1976,-22,0,1,1,1,1,7,7,7,7,1300,4,4232,7
carolina_wren,0,CA-ON-13,1977,-21,0,1,1,1,1,8,8,8,8,1300,4,4232,8
carolina_wren,0,CA-ON-13,1978,-20,0,1,1,1,1,9,9,9,9,1300,4,4232,9
carolina_wren,0,CA-ON-13,1979,-19,1,1,1,1,1,10,10,10,10,1300,2,2223,10
carolina_wren,0,CA-ON-13,1980,-18,0,1,1,1,1,11,11,11,11,1300,2,2223,11
carolina_wren,0,CA-ON-13,1981,-17,0,1,1,1,1,12,12,12,12,1300,2,2223,12
carolina_wren,0,CA-ON-13,1984,-14,0,1,1,1,1,15,15,15,15,1300,2,2223,13
carolina_wren,0,CA-ON-13,1986,-12,1,1,1,1,1,17,17,17,17,1300,6,5385,14
carolina_wren,0,CA-ON-13,1987,-11,0,1,1,1,1,18,18,18,18,1300,6,5385,15
carolina_wren,0,CA-ON-13,1988,-10,0,1,1,1,1,19,19,19,19,1300,6,5385,16
carolina_wren,0,CA-ON-13,1989,-9,0,1,1,1,1,20,20,20,20,1300,6,5385,17
carolina_wren,0,CA-ON-13,1990,-8,0,1,1,1,1,21,21,21,21,1300,6,5385,18
carolina_wren,0,CA-ON-13,1991,-7,0,1,1,1,1,22,22,22,22,1300,6,5385,19
carolina_wren,2,CA-ON-13,1992,-6,1,1,1,1,1,23,23,23,23,1300,1,58,20
carolina_wren,1,CA-ON-13,1994,-4,0,1,1,1,1,25,25,25,25,1300,1,58,21
carolina_wren,0,CA-ON-13,1995,-3,0,1,1,1,1,26,26,26,26,1300,1,58,22
carolina_wren,0,CA-ON-13,1996,-2,0,1,1,1,1,27,27,27,27,1300,1,58,23
carolina_wren,1,CA-ON-13,1998,0,0,1,1,1,1,29,29,29,29,1300,1,58,24
carolina_wren,0,CA-ON-13,1999,1,0,1,1,1,1,30,30,30,30,1300,1,58,25
carolina_wren,2,CA-ON-13,2006,8,0,1,1,1,1,37,37,37,37,1300,1,58,26
carolina_wren,1,CA-ON-13,2015,17,1,1,1,1,1,46,46,46,46,1300,3,3478,27
carolina_wren,1,CA-ON-13,2016,18,0,1,1,1,1,47,47,47,47,1300,3,3478,28
carolina_wren,0,CA-ON-13,2017,19,0,1,1,1,1,48,48,48,48,1300,3,3478,29
carolina_wren,0,CA-ON-13,2018,20,0,1,1,1,1,49,49,49,49,1300,3,3478,30
carolina_wren,0,CA-ON-13,1970,-28,0,1,1,1,1,1,1,1,1,1301,7,5895,31
carolina_wren,0,CA-ON-13,1971,-27,0,1,1,1,1,2,2,2,2,1301,7,5895,32
carolina_wren,0,CA-ON-13,1972,-26,0,1,1,1,1,3,3,3,3,1301,7,5895,33
carolina_wren,0,CA-ON-13,1973,-25,0,1,1,1,1,4,4,4,4,1301,7,5895,34
carolina_wren,2,CA-ON-13,1974,-24,0,1,1,1,1,5,5,5,5,1301,7,5895,35
carolina_wren,0,CA-ON-13,1975,-23,0,1,1,1,1,6,6,6,6,1301,7,5895,36
carolina_wren,1,CA-ON-13,1976,-22,0,1,1,1,1,7,7,7,7,1301,7,5895,37
carolina_wren,0,CA-ON-13,1977,-21,0,1,1,1,1,8,8,8,8,1301,7,5895,38
carolina_wren,0,CA-ON-13,1978,-20,0,1,1,1,1,9,9,9,9,1301,7,5895,39
carolina_wren,0,CA-ON-13,1979,-19,0,1,1,1,1,10,10,10,10,1301,7,5895,40
carolina_wren,0,CA-ON-13,1981,-17,0,1,1,1,1,12,12,12,12,1301,7,5895,41
carolina_wren,0,CA-ON-13,1982,-16,0,1,1,1,1,13,13,13,13,1301,7,5895,42
carolina_wren,1,CA-ON-13,1983,-15,0,1,1,1,1,14,14,14,14,1301,7,5895,43
carolina_wren,0,CA-ON-13,1985,-13,1,1,1,1,1,16,16,16,16,1301,8,6361,44
carolina_wren,0,CA-ON-13,1986,-12,1,1,1,1,1,17,17,17,17,1301,10,140,45
carolina_wren,2,CA-ON-13,1987,-11,0,1,1,1,1,18,18,18,18,1301,10,140,46
carolina_wren,0,CA-ON-13,1988,-10,0,1,1,1,1,19,19,19,19,1301,10,140,47
carolina_wren,0,CA-ON-13,1989,-9,0,1,1,1,1,20,20,20,20,1301,10,140,48
carolina_wren,0,CA-ON-13,1990,-8,0,1,1,1,1,21,21,21,21,1301,10,140,49
carolina_wren,4,CA-ON-13,1992,-6,1,1,1,1,1,23,23,23,23,1301,11,422,50
carolina_wren,0,CA-ON-13,1996,-2,0,1,1,1,1,27,27,27,27,1301,11,422,51
carolina_wren,0,CA-ON-13,1997,-1,0,1,1,1,1,28,28,28,28,1301,11,422,52
carolina_wren,1,CA-ON-13,2006,8,1,1,1,1,1,37,37,37,37,1301,9,6770,53
carolina_wren,0,CA-ON-13,2007,9,0,1,1,1,1,38,38,38,38,1301,9,6770,54
carolina_wren,2,CA-ON-13,2008,10,0,1,1,1,1,39,39,39,39,1301,9,6770,55
carolina_wren,3,CA-ON-13,2009,11,0,1,1,1,1,40,40,40,40,1301,9,6770,56
carolina_wren,0,CA-ON-13,2010,12,0,1,1,1,1,41,41,41,41,1301,9,6770,57
carolina_wren,3,CA-ON-13,2011,13,0,1,1,1,1,42,42,42,42,1301,9,6770,58
carolina_wren,1,CA-ON-13,2012,14,0,1,1,1,1,43,43,43,43,1301,9,6770,59
carolina_wren,1,CA-ON-13,2013,15,0,1,1,1,1,44,44,44,44,1301,9,6770,60
carolina_wren,3,CA-ON-13,2014,16,0,1,1,1,1,45,45,45,45,1301,9,6770,61
carolina_wren,0,CA-ON-13,2015,17,0,1,1,1,1,46,46,46,46,1301,9,6770,62
carolina_wren,2,CA-ON-13,2016,18,0,1,1,1,1,47,47,47,47,1301,9,6770,63
carolina_wren,2,CA-ON-13,2017,19,0,1,1,1,1,48,48,48,48,1301,9,6770,64
carolina_wren,2,CA-ON-13,2018,20,0,1,1,1,1,49,49,49,49,1301,9,6770,65
carolina_wren,6,CA-ON-13,2019,21,0,1,1,1,1,50,50,50,50,1301,9,6770,66
carolina_wren,0,CA-ON-13,1994,-4,1,1,1,1,1,25,25,25,25,1302,14,1158,67
carolina_wren,0,CA-ON-13,1995,-3,0,1,1,1,1,26,26,26,26,1302,14,1158,68
carolina_wren,0,CA-ON-13,1996,-2,0,1,1,1,1,27,27,27,27,1302,14,1158,69
carolina_wren,0,CA-ON-13,1999,1,1,1,1,1,1,30,30,30,30,1302,12,694,70
carolina_wren,0,CA-ON-13,2000,2,0,1,1,1,1,31,31,31,31,1302,12,694,71
carolina_wren,0,CA-ON-13,2001,3,0,1,1,1,1,32,32,32,32,1302,12,694,72
carolina_wren,0,CA-ON-13,2002,4,0,1,1,1,1,33,33,33,33,1302,12,694,73
carolina_wren,0,CA-ON-13,2003,5,1,1,1,1,1,34,34,34,34,1302,13,936,74
carolina_wren,0,CA-ON-13,2004,6,0,1,1,1,1,35,35,35,35,1302,13,936,75
carolina_wren,0,CA-ON-13,2005,7,0,1,1,1,1,36,36,36,36,1302,13,936,76
carolina_wren,0,CA-ON-13,2007,9,1,1,1,1,1,38,38,38,38,1302,16,1551,77
carolina_wren,0,CA-ON-13,2008,10,0,1,1,1,1,39,39,39,39,1302,16,1551,78
carolina_wren,0,CA-ON-13,2009,11,0,1,1,1,1,40,40,40,40,1302,16,1551,79
carolina_wren,0,CA-ON-13,2010,12,1,1,1,1,1,41,41,41,41,1302,17,1732,80
carolina_wren,0,CA-ON-13,2013,15,0,1,1,1,1,44,44,44,44,1302,17,1732,81
carolina_wren,0,CA-ON-13,2017,19,1,1,1,1,1,48,48,48,48,1302,15,1362,82
carolina_wren,0,CA-ON-13,2018,20,0,1,1,1,1,49,49,49,49,1302,15,1362,83
carolina_wren,1,CA-ON-13,2019,21,0,1,1,1,1,50,50,50,50,1302,15,1362,84
carolina_wren,0,CA-ON-13,1992,-6,1,1,1,1,1,23,23,23,23,1303,19,2063,85
carolina_wren,0,CA-ON-13,1993,-5,0,1,1,1,1,24,24,24,24,1303,19,2063,86
carolina_wren,0,CA-ON-13,1994,-4,0,1,1,1,1,25,25,25,25,1303,19,2063,87
carolina_wren,0,CA-ON-13,1995,-3,0,1,1,1,1,26,26,26,26,1303,19,2063,88
carolina_wren,0,CA-ON-13,1996,-2,0,1,1,1,1,27,27,27,27,1303,19,2063,89
carolina_wren,0,CA-ON-13,1997,-1,0,1,1,1,1,28,28,28,28,1303,19,2063,90
carolina_wren,0,CA-ON-13,1998,0,0,1,1,1,1,29,29,29,29,1303,19,2063,91
carolina_wren,0,CA-ON-13,1999,1,0,1,1,1,1,30,30,30,30,1303,19,2063,92
carolina_wren,0,CA-ON-13,2000,2,0,1,1,1,1,31,31,31,31,1303,19,2063,93
carolina_wren,0,CA-ON-13,2001,3,0,1,1,1,1,32,32,32,32,1303,19,2063,94
carolina_wren,0,CA-ON-13,2002,4,0,1,1,1,1,33,33,33,33,1303,19,2063,95
carolina_wren,0,CA-ON-13,2003,5,1,1,1,1,1,34,34,34,34,1303,18,1910,96
carolina_wren,1,CA-ON-13,2004,6,0,1,1,1,1,35,35,35,35,1303,18,1910,97
