species,count,strat_name,r_year,year_cent,strat_z,log_hrs,strat_idx1,strat_idx2,strat_idx3,strat_idx4,year_idx1,year_idx2,year_idx3,year_idx4,circ_idx1,row_idx1
carolina_wren,0,CA-ON-13,1976,-22,0.711340206,3.931825633,1,1,1,1,7,7,7,7,1,1
carolina_wren,0,CA-ON-13,1977,-21,0.711340206,3.887730313,1,1,1,1,8,8,8,8,1,2
carolina_wren,0,CA-ON-13,1978,-20,0.711340206,4.012772909,1,1,1,1,9,9,9,9,1,3
carolina_wren,0,CA-ON-13,1979,-19,0.711340206,4.102643365,1,1,1,1,10,10,10,10,1,4
carolina_wren,0,CA-ON-13,1980,-18,0.711340206,4.065602093,1,1,1,1,11,11,11,11,1,5
carolina_wren,0,CA-ON-13,1981,-17,0.711340206,4.003690194,1,1,1,1,12,12,12,12,1,6
carolina_wren,2,CA-ON-13,1982,-16,0.711340206,4.007333185,1,1,1,1,13,13,13,13,1,7
carolina_wren,0,CA-ON-13,1983,-15,0.711340206,3.850147602,1,1,1,1,14,14,14,14,1,8
carolina_wren,0,CA-ON-13,1984,-14,0.711340206,3.998200702,1,1,1,1,15,15,15,15,1,9
carolina_wren,0,CA-ON-13,1985,-13,0.711340206,3.850147602,1,1,1,1,16,16,16,16,1,10
carolina_wren,0,CA-ON-13,1986,-12,0.711340206,3.772760938,1,1,1,1,17,17,17,17,1,11
carolina_wren,0,CA-ON-13,1987,-11,0.711340206,3.583518938,1,1,1,1,18,18,18,18,1,12
carolina_wren,0,CA-ON-13,1988,-10,0.711340206,3.921973336,1,1,1,1,19,19,19,19,1,13
carolina_wren,0,CA-ON-13,1989,-9,0.711340206,3.63758616,1,1,1,1,20,20,20,20,1,14
carolina_wren,0,CA-ON-13,1990,-8,0.711340206,3.860729711,1,1,1,1,21,21,21,21,1,15
carolina_wren,0,CA-ON-13,1991,-7,0.711340206,3.80666249,1,1,1,1,22,22,22,22,1,16
carolina_wren,0,CA-ON-13,1992,-6,0.711340206,3.817712326,1,1,1,1,23,23,23,23,1,17
carolina_wren,0,CA-ON-13,1993,-5,0.711340206,3.828641396,1,1,1,1,24,24,24,24,1,18
carolina_wren,0,CA-ON-13,1994,-4,0.711340206,3.912023005,1,1,1,1,25,25,25,25,1,19
carolina_wren,0,CA-ON-13,1995,-3,0.711340206,3.784189634,1,1,1,1,26,26,26,26,1,20
carolina_wren,0,CA-ON-13,1996,-2,0.711340206,3.90197267,1,1,1,1,27,27,27,27,1,21
carolina_wren,0,CA-ON-13,1997,-1,0.711340206,4.043051268,1,1,1,1,28,28,28,28,1,22
carolina_wren,0,CA-ON-13,1998,0,0.711340206,3.891820298,1,1,1,1,29,29,29,29,1,23
carolina_wren,0,CA-ON-13,1999,1,0.711340206,3.817712326,1,1,1,1,30,30,30,30,1,24
carolina_wren,0,CA-ON-13,2000,2,0.711340206,4.127134385,1,1,1,1,31,31,31,31,1,25
carolina_wren,0,CA-ON-13,2001,3,0.711340206,3.860729711,1,1,1,1,32,32,32,32,1,26
carolina_wren,0,CA-ON-13,2002,4,0.711340206,3.921973336,1,1,1,1,33,33,33,33,1,27
carolina_wren,0,CA-ON-13,2003,5,0.711340206,4.359908829,1,1,1,1,34,34,34,34,1,28
carolina_wren,0,CA-ON-13,2004,6,0.711340206,4.394449155,1,1,1,1,35,35,35,35,1,29
carolina_wren,0,CA-ON-13,2005,7,0.711340206,4.069026754,1,1,1,1,36,36,36,36,1,30
carolina_wren,1,CA-ON-13,2006,8,0.711340206,4.363098625,1,1,1,1,37,37,37,37,1,31
carolina_wren,0,CA-ON-13,2007,9,0.711340206,4.559126247,1,1,1,1,38,38,38,38,1,32
carolina_wren,0,CA-ON-13,2008,10,0.711340206,4.356708827,1,1,1,1,39,39,39,39,1,33
carolina_wren,1,CA-ON-13,2009,11,0.711340206,4.016383021,1,1,1,1,40,40,40,40,1,34
carolina_wren,0,CA-ON-13,2010,12,0.711340206,4.334017415,1,1,1,1,41,41,41,41,1,35
carolina_wren,0,CA-ON-13,2011,13,0.711340206,4.060443011,1,1,1,1,42,42,42,42,1,36
carolina_wren,0,CA-ON-13,2012,14,0.711340206,4.053522568,1,1,1,1,43,43,43,43,1,37
carolina_wren,1,CA-ON-13,2013,15,0.711340206,4.135166557,1,1,1,1,44,44,44,44,1,38
carolina_wren,0,CA-ON-13,2014,16,0.711340206,4.193435465,1,1,1,1,45,45,45,45,1,39
carolina_wren,0,CA-ON-13,2015,17,0.711340206,4.223177434,1,1,1,1,46,46,46,46,1,40
carolina_wren,0,CA-ON-13,2016,18,0.711340206,4.287028906,1,1,1,1,47,47,47,47,1,41
carolina_wren,0,CA-ON-13,2017,19,0.711340206,4.08176578,1,1,1,1,48,48,48,48,1,42
carolina_wren,0,CA-ON-13,2018,20,0.711340206,4.276666119,1,1,1,1,49,49,49,49,1,43
carolina_wren,0,CA-ON-13,2019,21,0.711340206,4.107589789,1,1,1,1,50,50,50,50,1,44
carolina_wren,0,CA-ON-13,1970,-28,0.711340206,3.465735903,1,1,1,1,1,1,1,1,2,45
carolina_wren,0,CA-ON-13,1971,-27,0.711340206,3.583518938,1,1,1,1,2,2,2,2,2,46
carolina_wren,0,CA-ON-13,1972,-26,0.711340206,4.394449155,1,1,1,1,3,3,3,3,2,47
carolina_wren,1,CA-ON-13,1973,-25,0.711340206,4.276666119,1,1,1,1,4,4,4,4,2,48
carolina_wren,6,CA-ON-13,1974,-24,0.711340206,4.543294782,1,1,1,1,5,5,5,5,2,49
carolina_wren,16,CA-ON-13,1975,-23,0.711340206,4.304065093,1,1,1,1,6,6,6,6,2,50
carolina_wren,3,CA-ON-13,1976,-22,0.711340206,4.304065093,1,1,1,1,7,7,7,7,2,51
carolina_wren,2,CA-ON-13,1977,-21,0.711340206,4.672828834,1,1,1,1,8,8,8,8,2,52
carolina_wren,0,CA-ON-13,1978,-20,0.711340206,4.454347296,1,1,1,1,9,9,9,9,2,53
carolina_wren,0,CA-ON-13,1979,-19,0.711340206,4.48863637,1,1,1,1,10,10,10,10,2,54
carolina_wren,0,CA-ON-13,1980,-18,0.711340206,4.879006852,1,1,1,1,11,11,11,11,2,55
carolina_wren,1,CA-ON-13,1981,-17,0.711340206,4.678420648,1,1,1,1,12,12,12,12,2,56
carolina_wren,0,CA-ON-13,1982,-16,0.711340206,4.605170186,1,1,1,1,13,13,13,13,2,57
carolina_wren,1,CA-ON-13,1983,-15,0.711340206,4.64053733,1,1,1,1,14,14,14,14,2,58
carolina_wren,7,CA-ON-13,1984,-14,0.711340206,4.912654886,1,1,1,1,15,15,15,15,2,59
carolina_wren,7,CA-ON-13,1985,-13,0.711340206,4.816241156,1,1,1,1,16,16,16,16,2,60
carolina_wren,0,CA-ON-13,1986,-12,0.711340206,4.516338972,1,1,1,1,17,17,17,17,2,61
carolina_wren,8,CA-ON-13,1987,-11,0.711340206,4.820281566,1,1,1,1,18,18,18,18,2,62
carolina_wren,3,CA-ON-13,1988,-10,0.711340206,4.639571613,1,1,1,1,19,19,19,19,2,63
carolina_wren,12,CA-ON-13,1989,-9,0.711340206,4.700480366,1,1,1,1,20,20,20,20,2,64
carolina_wren,3,CA-ON-13,1990,-8,0.711340206,4.452019006,1,1,1,1,21,21,21,21,2,65
carolina_wren,13,CA-ON-13,1991,-7,0.711340206,4.420044702,1,1,1,1,22,22,22,22,2,66
carolina_wren,15,CA-ON-13,1992,-6,0.711340206,4.505349851,1,1,1,1,23,23,23,23,2,67
carolina_wren,12,CA-ON-13,1993,-5,0.711340206,4.532599493,1,1,1,1,24,24,24,24,2,68
carolina_wren,21,CA-ON-13,1994,-4,0.711340206,4.639571613,1,1,1,1,25,25,25,25,2,69
carolina_wren,8,CA-ON-13,1995,-3,0.711340206,4.457829598,1,1,1,1,26,26,26,26,2,70
carolina_wren,11,CA-ON-13,1996,-2,0.711340206,4.707726774,1,1,1,1,27,27,27,27,2,71
carolina_wren,8,CA-ON-13,1997,-1,0.711340206,4.516338972,1,1,1,1,28,28,28,28,2,72
carolina_wren,15,CA-ON-13,1998,0,0.711340206,4.564348191,1,1,1,1,29,29,29,29,2,73
carolina_wren,22,CA-ON-13,1999,1,0.711340206,4.783316371,1,1,1,1,30,30,30,30,2,74
carolina_wren,7,CA-ON-13,2000,2,0.711340206,4.859812404,1,1,1,1,31,31,31,31,2,75
carolina_wren,7,CA-ON-13,2001,3,0.711340206,4.574710979,1,1,1,1,32,32,32,32,2,76
carolina_wren,34,CA-ON-13,2002,4,0.711340206,4.879006852,1,1,1,1,33,33,33,33,2,77
carolina_wren,38,CA-ON-13,2003,5,0.711340206,4.806068128,1,1,1,1,34,34,34,34,2,78
carolina_wren,18,CA-ON-13,2004,6,0.711340206,4.716264233,1,1,1,1,35,35,35,35,2,79
carolina_wren,13,CA-ON-13,2005,7,0.711340206,4.658710953,1,1,1,1,36,36,36,36,2,80
carolina_wren,26,CA-ON-13,2006,8,0.711340206,4.620058798,1,1,1,1,37,37,37,37,2,81
carolina_wren,55,CA-ON-13,2007,9,0.711340206,4.682131227,1,1,1,1,38,38,38,38,2,82
carolina_wren,20,CA-ON-13,2008,10,0.711340206,4.521788577,1,1,1,1,39,39,39,39,2,83
carolina_wren,42,CA-ON-13,2009,11,0.711340206,4.700480366,1,1,1,1,40,40,40,40,2,84
carolina_wren,25,CA-ON-13,2010,12,0.711340206,4.709530201,1,1,1,1,41,41,41,41,2,85
carolina_wren,23,CA-ON-13,2011,13,0.711340206,4.658710953,1,1,1,1,42,42,42,42,2,86
carolina_wren,10,CA-ON-13,2012,14,0.711340206,4.799914263,1,1,1,1,43,43,43,43,2,87
carolina_wren,37,CA-ON-13,2013,15,0.711340206,4.695924549,1,1,1,1,44,44,44,44,2,88
carolina_wren,29,CA-ON-13,2014,16,0.711340206,4.424846632,1,1,1,1,45,45,45,45,2,89
carolina_wren,27,CA-ON-13,2015,17,0.711340206,4.65396035,1,1,1,1,46,46,46,46,2,90
carolina_wren,11,CA-ON-13,2016,18,0.711340206,4.394449155,1,1,1,1,47,47,47,47,2,91
carolina_wren,6,CA-ON-13,2017,19,0.711340206,4.545950826,1,1,1,1,48,48,48,48,2,92
carolina_wren,17,CA-ON-13,2018,20,0.711340206,4.644390899,1,1,1,1,49,49,49,49,2,93
carolina_wren,25,CA-ON-13,2019,21,0.711340206,4.682131227,1,1,1,1,50,50,50,50,2,94
carolina_wren,1,CA-ON-13,2014,16,0.711340206,2.302585093,1,1,1,1,45,45,45,45,3,95
carolina_wren,6,CA-ON-13,2015,17,0.711340206,2.079441542,1,1,1,1,46,46,46,46,3,96
carolina_wren,9,CA-ON-13,2016,18,0.711340206,2.302585093,1,1,1,1,47,47,47,47,3,97
carolina_wren,16,CA-ON-13,2017,19,0.711340206,3.979681654,1,1,1,1,48,48,48,48,3,98
carolina_wren,0,CA-ON-13,2019,21,0.711340206,4.077537444,1,1,1,1,50,50,50,50,3,99
carolina_wren,0,CA-ON-13,1978,-20,0.711340206,4.442651256,1,1,1,1,9,9,9,9,4,100
carolina_wren,0,CA-ON-13,1979,-19,0.711340206,4.924350925,1,1,1,1,10,10,10,10,4,101
carolina_wren,0,CA-ON-13,1980,-18,0.711340206,4.900076104,1,1,1,1,11,11,11,11,4,102
carolina_wren,0,CA-ON-13,1981,-17,0.711340206,4.777441407,1,1,1,1,12,12,12,12,4,103
carolina_wren,0,CA-ON-13,1982,-16,0.711340206,4.669083512,1,1,1,1,13,13,13,13,4,104
carolina_wren,0,CA-ON-13,1983,-15,0.711340206,4.670957927,1,1,1,1,14,14,14,14,4,105
carolina_wren,0,CA-ON-13,1984,-14,0.711340206,4.712229258,1,1,1,1,15,15,15,15,4,106
carolina_wren,0,CA-ON-13,1985,-13,0.711340206,4.632785353,1,1,1,1,16,16,16,16,4,107
carolina_wren,0,CA-ON-13,1986,-12,0.711340206,4.865994804,1,1,1,1,17,17,17,17,4,108
carolina_wren,0,CA-ON-13,1987,-11,0.711340206,4.86753445,1,1,1,1,18,18,18,18,4,109
carolina_wren,0,CA-ON-13,1988,-10,0.711340206,4.94875989,1,1,1,1,19,19,19,19,4,110
carolina_wren,0,CA-ON-13,1989,-9,0.711340206,4.773223771,1,1,1,1,20,20,20,20,4,111
carolina_wren,0,CA-ON-13,1990,-8,0.711340206,4.698660529,1,1,1,1,21,21,21,21,4,112
carolina_wren,0,CA-ON-13,1991,-7,0.711340206,4.737075257,1,1,1,1,22,22,22,22,4,113
carolina_wren,2,CA-ON-13,1992,-6,0.711340206,4.820281566,1,1,1,1,23,23,23,23,4,114
carolina_wren,2,CA-ON-13,1993,-5,0.711340206,4.914858339,1,1,1,1,24,24,24,24,4,115
carolina_wren,0,CA-ON-13,1994,-4,0.711340206,4.973279508,1,1,1,1,25,25,25,25,4,116
carolina_wren,0,CA-ON-13,1995,-3,0.711340206,4.945207489,1,1,1,1,26,26,26,26,4,117
carolina_wren,0,CA-ON-13,1996,-2,0.711340206,4.980176087,1,1,1,1,27,27,27,27,4,118
carolina_wren,1,CA-ON-13,1997,-1,0.711340206,4.830710862,1,1,1,1,28,28,28,28,4,119
carolina_wren,0,CA-ON-13,1998,0,0.711340206,5.110782243,1,1,1,1,29,29,29,29,4,120
carolina_wren,1,CA-ON-13,1999,1,0.711340206,4.817050545,1,1,1,1,30,30,30,30,4,121
carolina_wren,0,CA-ON-13,2000,2,0.711340206,5.318119994,1,1,1,1,31,31,31,31,4,122
carolina_wren,0,CA-ON-13,2001,3,0.711340206,5.011967739,1,1,1,1,32,32,32,32,4,123
carolina_wren,0,CA-ON-13,2002,4,0.711340206,4.789572909,1,1,1,1,33,33,33,33,4,124
carolina_wren,0,CA-ON-13,2003,5,0.711340206,4.859812404,1,1,1,1,34,34,34,34,4,125
carolina_wren,1,CA-ON-13,2004,6,0.711340206,4.983606622,1,1,1,1,35,35,35,35,4,126
carolina_wren,0,CA-ON-13,2005,7,0.711340206,4.916324615,1,1,1,1,36,36,36,36,4,127
carolina_wren,0,CA-ON-13,2006,8,0.711340206,4.886582645,1,1,1,1,37,37,37,37,4,128
carolina_wren,8,CA-ON-13,2007,9,0.711340206,4.943426544,1,1,1,1,38,38,38,38,4,129
carolina_wren,3,CA-ON-13,2008,10,0.711340206,5.776103136,1,1,1,1,39,39,39,39,4,130
carolina_wren,0,CA-ON-13,2009,11,0.711340206,5.173320876,1,1,1,1,40,40,40,40,4,131
carolina_wren,1,CA-ON-13,2010,12,0.711340206,4.838264068,1,1,1,1,41,41,41,41,4,132
carolina_wren,1,CA-ON-13,2011,13,0.711340206,5.007296393,1,1,1,1,42,42,42,42,4,133
carolina_wren,2,CA-ON-13,2012,14,0.711340206,4.617592706,1,1,1,1,43,43,43,43,4,134
carolina_wren,4,CA-ON-13,2013,15,0.711340206,4.852030264,1,1,1,1,44,44,44,44,4,135
carolina_wren,2,CA-ON-13,2014,16,0.711340206,4.862135286,1,1,1,1,45,45,45,45,4,136
carolina_wren,1,CA-ON-13,2015,17,0.711340206,4.940927882,1,1,1,1,46,46,46,46,4,137
carolina_wren,4,CA-ON-13,2016,18,0.711340206,4.483002552,1,1,1,1,47,47,47,47,4,138
carolina_wren,2,CA-ON-13,2017,19,0.711340206,4.73312355,1,1,1,1,48,48,48,48,4,139
carolina_wren,1,CA-ON-13,2018,20,0.711340206,4.643910014,1,1,1,1,49,49,49,49,4,140
carolina_wren,4,CA-ON-13,2019,21,0.711340206,4.689511334,1,1,1,1,50,50,50,50,4,141
carolina_wren,0,CA-ON-13,1970,-28,0.711340206,3.784189634,1,1,1,1,1,1,1,1,5,142
carolina_wren,0,CA-ON-13,1971,-27,0.711340206,4.077537444,1,1,1,1,2,2,2,2,5,143
carolina_wren,0,CA-ON-13,1972,-26,0.711340206,4.356708827,1,1,1,1,3,3,3,3,5,144
carolina_wren,0,CA-ON-13,1973,-25,0.711340206,3.828641396,1,1,1,1,4,4,4,4,5,145
carolina_wren,0,CA-ON-13,1974,-24,0.711340206,4.143134726,1,1,1,1,5,5,5,5,5,146
carolina_wren,0,CA-ON-13,1975,-23,0.711340206,4.700480366,1,1,1,1,6,6,6,6,5,147
carolina_wren,1,CA-ON-13,1976,-22,0.711340206,4.317488114,1,1,1,1,7,7,7,7,5,148
carolina_wren,0,CA-ON-13,1977,-21,0.711340206,4.304065093,1,1,1,1,8,8,8,8,5,149
carolina_wren,0,CA-ON-13,1978,-20,0.711340206,4.094344562,1,1,1,1,9,9,9,9,5,150
carolina_wren,0,CA-ON-13,1979,-19,0.711340206,4.442651256,1,1,1,1,10,10,10,10,5,151
carolina_wren,0,CA-ON-13,1980,-18,0.711340206,4.394449155,1,1,1,1,11,11,11,11,5,152
carolina_wren,0,CA-ON-13,1981,-17,0.711340206,4.709530201,1,1,1,1,12,12,12,12,5,153
carolina_wren,0,CA-ON-13,1982,-16,0.711340206,4.590056548,1,1,1,1,13,13,13,13,5,154
carolina_wren,0,CA-ON-13,1983,-15,0.711340206,4.548599834,1,1,1,1,14,14,14,14,5,155
carolina_wren,0,CA-ON-13,1984,-14,0.711340206,4.521788577,1,1,1,1,15,15,15,15,5,156
carolina_wren,0,CA-ON-13,1985,-13,0.711340206,4.537961436,1,1,1,1,16,16,16,16,5,157
carolina_wren,0,CA-ON-13,1986,-12,0.711340206,4.226833745,1,1,1,1,17,17,17,17,5,158
carolina_wren,0,CA-ON-13,1987,-11,0.711340206,4.465908119,1,1,1,1,18,18,18,18,5,159
carolina_wren,0,CA-ON-13,1988,-10,0.711340206,4.521788577,1,1,1,1,19,19,19,19,5,160
carolina_wren,0,CA-ON-13,1989,-9,0.711340206,4.204692619,1,1,1,1,20,20,20,20,5,161
carolina_wren,0,CA-ON-13,1990,-8,0.711340206,4.077537444,1,1,1,1,21,21,21,21,5,162
carolina_wren,0,CA-ON-13,1991,-7,0.711340206,4.110873864,1,1,1,1,22,22,22,22,5,163
carolina_wren,0,CA-ON-13,1992,-6,0.711340206,4.33073334,1,1,1,1,23,23,23,23,5,164
carolina_wren,0,CA-ON-13,1993,-5,0.711340206,4.276666119,1,1,1,1,24,24,24,24,5,165
carolina_wren,0,CA-ON-13,1994,-4,0.711340206,4.454347296,1,1,1,1,25,25,25,25,5,166
carolina_wren,0,CA-ON-13,1995,-3,0.711340206,4.510859507,1,1,1,1,26,26,26,26,5,167
carolina_wren,0,CA-ON-13,1996,-2,0.711340206,4.262679877,1,1,1,1,27,27,27,27,5,168
carolina_wren,0,CA-ON-13,1997,-1,0.711340206,4.276666119,1,1,1,1,28,28,28,28,5,169
carolina_wren,0,CA-ON-13,1998,0,0.711340206,4.343805422,1,1,1,1,29,29,29,29,5,170
carolina_wren,0,CA-ON-13,1999,1,0.711340206,4.283586562,1,1,1,1,30,30,30,30,5,171
carolina_wren,0,CA-ON-13,2000,2,0.711340206,4.234106505,1,1,1,1,31,31,31,31,5,172
carolina_wren,0,CA-ON-13,2001,3,0.711340206,4.297285406,1,1,1,1,32,32,32,32,5,173
carolina_wren,0,CA-ON-13,2002,4,0.711340206,4.436751534,1,1,1,1,33,33,33,33,5,174
carolina_wren,0,CA-ON-13,2003,5,0.711340206,4.310799125,1,1,1,1,34,34,34,34,5,175
carolina_wren,0,CA-ON-13,2004,6,0.711340206,4.559126247,1,1,1,1,35,35,35,35,5,176
carolina_wren,0,CA-ON-13,2005,7,0.711340206,4.350277936,1,1,1,1,36,36,36,36,5,177
carolina_wren,1,CA-ON-13,2006,8,0.711340206,4.460144414,1,1,1,1,37,37,37,37,5,178
carolina_wren,1,CA-ON-13,2007,9,0.711340206,4.337290741,1,1,1,1,38,38,38,38,5,179
carolina_wren,0,CA-ON-13,2008,10,0.711340206,4.337290741,1,1,1,1,39,39,39,39,5,180
carolina_wren,0,CA-ON-13,2009,11,0.711340206,4.584967479,1,1,1,1,40,40,40,40,5,181
carolina_wren,0,CA-ON-13,2010,12,0.711340206,4.252060308,1,1,1,1,41,41,41,41,5,182
carolina_wren,0,CA-ON-13,2011,13,0.711340206,4.445588116,1,1,1,1,42,42,42,42,5,183
carolina_wren,0,CA-ON-13,2012,14,0.711340206,4.665794808,1,1,1,1,43,43,43,43,5,184
carolina_wren,1,CA-ON-13,2013,15,0.711340206,4.665794808,1,1,1,1,44,44,44,44,5,185
carolina_wren,0,CA-ON-13,2014,16,0.711340206,4.407938016,1,1,1,1,45,45,45,45,5,186
carolina_wren,0,CA-ON-13,2015,17,0.711340206,4.579134171,1,1,1,1,46,46,46,46,5,187
carolina_wren,0,CA-ON-13,2016,18,0.711340206,4.69711106,1,1,1,1,47,47,47,47,5,188
carolina_wren,1,CA-ON-13,2017,19,0.711340206,4.651576559,1,1,1,1,48,48,48,48,5,189
carolina_wren,0,CA-ON-13,2018,20,0.711340206,4.423768206,1,1,1,1,49,49,49,49,5,190
carolina_wren,0,CA-ON-13,2019,21,0.711340206,4.572956864,1,1,1,1,50,50,50,50,5,191
carolina_wren,3,CA-ON-13,1987,-11,0.711340206,4.634728988,1,1,1,1,18,18,18,18,6,192
carolina_wren,6,CA-ON-13,1988,-10,0.711340206,4.836281907,1,1,1,1,19,19,19,19,6,193
carolina_wren,12,CA-ON-13,1989,-9,0.711340206,4.672828834,1,1,1,1,20,20,20,20,6,194
carolina_wren,7,CA-ON-13,1990,-8,0.711340206,4.663439094,1,1,1,1,21,21,21,21,6,195
carolina_wren,23,CA-ON-13,1991,-7,0.711340206,4.65396035,1,1,1,1,22,22,22,22,6,196
carolina_wren,18,CA-ON-13,1992,-6,0.711340206,4.705015521,1,1,1,1,23,23,23,23,6,197
carolina_wren,23,CA-ON-13,1993,-5,0.711340206,4.516338972,1,1,1,1,24,24,24,24,6,198
carolina_wren,22,CA-ON-13,1994,-4,0.711340206,4.537961436,1,1,1,1,25,25,25,25,6,199
carolina_wren,17,CA-ON-13,1996,-2,0.711340206,4.460144414,1,1,1,1,27,27,27,27,6,200
carolina_wren,9,CA-ON-13,1997,-1,0.711340206,4.579852378,1,1,1,1,28,28,28,28,6,201
carolina_wren,21,CA-ON-13,1998,0,0.711340206,4.430816799,1,1,1,1,29,29,29,29,6,202
carolina_wren,28,CA-ON-13,1999,1,0.711340206,4.553876892,1,1,1,1,30,30,30,30,6,203
carolina_wren,18,CA-ON-13,2000,2,0.711340206,4.516338972,1,1,1,1,31,31,31,31,6,204
