site,year,j_date,n_species,n_butts,n_monarch,hours
"Abilene, TX._-99.73_32.43",2003,156,36,162,0,6.5
"ACAS, MD._-77.1931_39.4234",1996,187,22,614,3,4.5
"ACAS, MD._-77.1931_39.4234",1997,187,23,677,2,5.67
"ACAS, MD._-77.1931_39.4234",1998,186,29,1910,1,4.5
"ACAS, MD._-77.1931_39.4234",1999,184,27,815,1,5.5
"ACAS, MD._-77.1931_39.4234",2000,190,28,493,1,4
"ACAS, MD._-77.1931_39.4234",2001,188,37,566,2,8
"ACAS, MD._-77.1931_39.4234",2002,194,28,1248,0,10.5
"ACAS, MD._-77.1931_39.4234",2003,187,24,1172,3,9.5
"ACAS, MD._-77.1931_39.4234",2004,187,38,1086,2,8.5
"ACAS, MD._-77.1931_39.4234",2005,191,35,904,3,8.5
"ACAS, MD._-77.1931_39.4234",2006,189,31,1235,13,8
"ACAS, MD._-77.1931_39.4234",2007,181,33,1705,3,8.5
"ACAS, MD._-77.1931_39.4234",2008,187,29,1153,4,9
"ACAS, MD._-77.1931_39.4234",2009,184,28,524,3,11
"ACAS, MD._-77.1931_39.4234",2010,184,34,880,2,12.5
"ACAS, MD._-77.1931_39.4234",2011,183,33,708,7,13.5
"ACAS, MD._-77.1931_39.4234",2012,183,30,747,3,12.5
"ACAS, MD._-77.1931_39.4234",2013,181,23,649,0,14
"ACAS, MD._-77.1931_39.4234",2014,180,30,583,2,14.5
"ACAS, MD._-77.1931_39.4234",2015,179,31,722,2,15
"ACAS, MD._-77.1931_39.4234",2016,178,29,905,0,16.5
"ACAS, MD._-77.1931_39.4234",2017,175,34,999,8,11
"ACAS, MD._-77.1931_39.4234",2018,181,29,373,13,17.5
"Adair Tower, AB, Canada._-118.33_59.16",1999,189,16,423,0,4.75
Adams Co._-83.4136_38.7718,1989,182,34,869,9,18
Adams Co._-83.4136_38.7718,1990,181,39,889,6,23.5
Adams Co._-83.4136_38.7718,1991,180,41,1429,27,20
Adams Co._-83.4136_38.7718,1992,193,47,1254,12,26
Adams Co._-83.4136_38.7718,1993,177,47,1114,24,25
Adams Co._-83.4136_38.7718,1994,176,47,1717,7,31.25
Adams Co._-83.4136_38.7718,1995,175,49,868,3,27
Adams Co._-83.4136_38.7718,1996,181,51,1151,15,34.25
Adams Co._-83.4136_38.7718,1997,179,53,2020,42,46.5
Adams Co._-83.4136_38.7718,1998,178,51,1682,5,30.5
Adams Co._-83.4136_38.7718,1999,177,53,1958,7,27.2
Adams Co._-83.4136_38.7718,2000,176,56,2105,6,32.25
Adams Co._-83.4136_38.7718,2001,181,50,984,5,30
Adams Co._-83.4136_38.7718,2002,180,47,925,1,30
Adams Co._-83.4136_38.7718,2003,172,51,1210,21,37
Adams Co._-83.4136_38.7718,2004,180,58,1914,5,38.5
Adams Co._-83.4136_38.7718,2005,176,48,1266,1,36.5
Adams Co._-83.4136_38.7718,2006,175,52,1183,25,42
Adams Co._-83.4136_38.7718,2007,181,46,1691,13,33.5
Adams Co._-83.4136_38.7718,2008,180,51,1519,5,27.5
Adams Co._-83.4136_38.7718,2009,178,48,1065,12,14.5
Adams Co._-83.4136_38.7718,2010,177,50,1798,26,43
Adams Co._-83.4136_38.7718,2011,176,54,1475,15,34.5
Adams Co._-83.4136_38.7718,2012,175,53,1005,8,37.5
Adams Co._-83.4136_38.7718,2013,180,44,851,0,40
Adams Co._-83.4136_38.7718,2014,179,35,356,5,22.5
Adams Co._-83.4136_38.7718,2015,178,38,573,0,26
Adams Co._-83.4136_38.7718,2016,177,46,1054,0,27.5
Adams Co._-83.4136_38.7718,2017,175,51,1014,6,32
Adams Co._-83.4136_38.7718,2018,181,41,642,22,31
"Adams County Preserves, OH._-83.44_38.74",1981,194,37,441,0,19
"Aiken Canyon, CO._-104.5_38.62",1996,195,20,150,0,4
"Airlie Center, VA._-77.7943_38.7566",1995,223,28,481,8,10
"Airlie Center, VA._-77.7943_38.7566",1998,207,28,674,10,7
"Airlie Center, VA._-77.7943_38.7566",2000,205,26,958,0,20.5
"Airlie Center, VA._-77.7943_38.7566",2001,203,32,632,5,18
"Airlie Center, VA._-77.7943_38.7566",2002,202,39,2237,7,22
"Airlie Center, VA._-77.7943_38.7566",2003,207,40,1317,13,20.5
"Airlie Center, VA._-77.7943_38.7566",2009,206,47,2476,26,19
"Airlie Center, VA._-77.7943_38.7566",2010,205,42,1287,49,15.5
"Airlie Center, VA._-77.7943_38.7566",2011,211,43,1025,11,13.5
"Airlie Center, VA._-77.7943_38.7566",2012,207,37,1111,4,14.5
"Airlie Center, VA._-77.7943_38.7566",2013,208,32,2190,6,14.5
"Airlie Center, VA._-77.7943_38.7566",2014,207,40,934,3,16
"Airlie Center, VA._-77.7943_38.7566",2015,206,36,1118,6,16
"Airlie Center, VA._-77.7943_38.7566",2016,220,42,1562,16,18
"Airlie Center, VA._-77.7943_38.7566",2017,211,39,1098,24,19
"Airlie Center, VA._-77.7943_38.7566",2018,209,46,2291,74,31
"Akron, OH._-81.5637_41.0605",2001,185,25,272,0,4
"Akron, OH._-81.5637_41.0605",2002,185,26,444,2,5
"Akron, OH._-81.5637_41.0605",2003,185,31,579,2,9
"Akron, OH._-81.5637_41.0605",2004,186,21,139,0,6
"Akron, OH._-81.5637_41.0605",2005,191,32,481,2,7
"Akron, OH._-81.5637_41.0605",2006,183,21,181,1,7.5
"Akron, OH._-81.5637_41.0605",2007,182,34,838,11,24
"Akron, OH._-81.5637_41.0605",2009,206,19,100,2,8
"Akron, OH._-81.5637_41.0605",2010,170,42,1277,6,8
"Akron, OH._-81.5637_41.0605",2011,169,29,657,0,11.5
"Akron, OH._-81.5637_41.0605",2012,168,44,1363,4,20
"Akron, OH._-81.5637_41.0605",2013,173,33,1336,0,20.5
"Akron, OH._-81.5637_41.0605",2016,170,35,1104,1,13.5
"Akron, OH._-81.5637_41.0605",2017,190,36,799,4,12
"Akron, OH._-81.5637_41.0605",2018,185,36,870,31,11.5
Albemarle Co._-78.5886_38.0441,2011,176,32,291,3,10
Albemarle Co._-78.5886_38.0441,2012,183,30,275,2,7
Albemarle Co._-78.5886_38.0441,2013,160,33,534,3,10
Albemarle Co._-78.5886_38.0441,2014,165,20,217,0,13
Albemarle Co._-78.5886_38.0441,2015,206,35,345,0,10
Albemarle Co._-78.5886_38.0441,2016,205,30,150,1,6
Albemarle Co._-78.5886_38.0441,2017,224,23,126,2,8
Albemarle Co._-78.5886_38.0441,2018,223,26,119,5,8.5
"Albert, NB, Canada._-64.73_45.68",1994,185,22,346,0,10
"Albuquerque, NM._-106.43_35.13",1989,211,13,45,0,3
"Alexandria, LA._-92.467_31.2742",1999,227,32,344,0,6
"Alexandria, LA._-92.467_31.2742",2000,225,30,123,4,7
"Alexandria, LA._-92.467_31.2742",2001,230,24,115,3,6
"Alexandria, LA._-92.467_31.2742",2002,229,24,85,1,7
"Alexandria, LA._-92.467_31.2742",2003,228,21,115,2,7
"Alexandria, LA._-92.467_31.2742",2004,243,14,116,6,6
"Alexandria, LA._-92.467_31.2742",2005,238,25,104,0,4.5
"Alexandria, LA._-92.467_31.2742",2006,189,21,57,2,5.5
"Alexandria, LA._-92.467_31.2742",2007,223,39,372,2,12
"Alexandria, LA._-92.467_31.2742",2008,229,34,202,0,10
"Alexandria, LA._-92.467_31.2742",2009,220,40,453,3,9.5
"Alexandria, LA._-92.467_31.2742",2010,254,46,1136,8,9
"Alexandria, LA._-92.467_31.2742",2011,274,43,570,7,13.5
"Alexandria, LA._-92.467_31.2742",2012,273,29,267,3,9.5
