bcr,mean_std_trend,lcl_std_trend,ucl_std_trend
11.00,11.73975259,8.985040472,15.2959707
12.00,3.058138517,-0.795489188,7.253819741
13.00,6.119070685,5.786582071,6.427302601
14.00,10.16024897,8.161639305,12.06951767
18.00,9.109253544,6.607570494,12.10851807
19.00,6.608163244,5.78669752,7.453618749
20.00,2.406882498,1.715547884,3.116498195
21.00,3.634388754,3.303764833,4.041812793
22.00,4.926213271,4.643909408,5.215432641
23.00,7.072465413,6.549938764,7.575738906
24.00,2.611111032,2.325005113,2.92156643
25.00,0.570834936,0.1064458,0.929325746
26.00,0.526055435,0.172934157,0.866723233
27.00,1.006728228,0.816669123,1.197105477
28.00,1.845817795,1.398593838,2.297093853
29.00,1.847384188,1.566145581,2.101862097
30.00,2.013441463,1.651568749,2.374285407
31.00,0.130164428,-0.060882598,0.317334315
35.00,1.094533478,-1.921530072,4.229911119
36.00,5.011603576,4.170090632,5.949203922
37.00,0.94421117,0.529259052,1.340937393
